Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
441.0,1715940407.4158363,1,-1.3113021850585938e-05,1715940407.4158633,2.384185791015625e-06
440.0,1715940407.4660525,1,-2.1696090698242188e-05,1715940407.46609,2.1457672119140625e-06
432.0,1715940407.5166183,1,-1.6450881958007812e-05,1715940407.516651,2.384185791015625e-06
430.0,1715940407.5662928,1,-1.5497207641601562e-05,1715940407.5663235,1.9073486328125e-06
423.0,1715940407.6164386,1,-1.5735626220703125e-05,1715940407.61647,1.9073486328125e-06
423.0,1715940407.6677508,1,-1.5735626220703125e-05,1715940407.667783,2.1457672119140625e-06
422.0,1715940407.717858,1,-1.5497207641601562e-05,1715940407.7178895,2.1457672119140625e-06
430.0,1715940407.7680795,1,-1.5497207641601562e-05,1715940407.7681093,2.384185791015625e-06
426.0,1715940407.8181548,1,-9.5367431640625e-06,1715940407.8181791,1.6689300537109375e-06
432.0,1715940407.86838,1,-1.1682510375976562e-05,1715940407.8684032,2.1457672119140625e-06
437.0,1715940407.9183903,1,-9.5367431640625e-06,1715940407.9184144,1.6689300537109375e-06
447.0,1715940407.968227,1,-5.7220458984375e-06,1715940407.968241,7.152557373046875e-07
445.0,1715940408.0183103,1,-5.9604644775390625e-06,1715940408.018325,4.76837158203125e-07
443.0,1715940408.0696986,1,-5.7220458984375e-06,1715940408.0697122,9.5367431640625e-07
445.0,1715940408.119792,1,-5.9604644775390625e-06,1715940408.119806,7.152557373046875e-07
453.0,1715940408.1702552,1,-9.5367431640625e-06,1715940408.1702785,1.9073486328125e-06
457.0,1715940408.2204235,1,-1.049041748046875e-05,1715940408.2204483,1.9073486328125e-06
467.0,1715940408.270688,1,-1.0251998901367188e-05,1715940408.2707124,1.6689300537109375e-06
466.0,1715940408.3208303,1,-1.1444091796875e-05,1715940408.3208535,2.1457672119140625e-06
474.0,1715940408.3710082,1,-9.5367431640625e-06,1715940408.3710327,1.9073486328125e-06
479.0,1715940408.421116,1,-1.0967254638671875e-05,1715940408.4211395,1.6689300537109375e-06
494.0,1715940408.4712796,1,-1.0013580322265625e-05,1715940408.4713008,2.1457672119140625e-06
498.0,1715940408.5213742,1,-1.0013580322265625e-05,1715940408.5213997,1.9073486328125e-06
514.0,1715940408.5727682,1,-9.775161743164062e-06,1715940408.5727897,1.9073486328125e-06
522.0,1715940408.6228411,1,-9.5367431640625e-06,1715940408.6228623,2.1457672119140625e-06
535.0,1715940408.6729896,1,-1.049041748046875e-05,1715940408.6730123,1.9073486328125e-06
536.0,1715940408.723066,1,-1.0251998901367188e-05,1715940408.7230887,1.6689300537109375e-06
543.0,1715940408.773229,1,-9.298324584960938e-06,1715940408.7732503,1.6689300537109375e-06
546.0,1715940408.82332,1,-1.0013580322265625e-05,1715940408.823342,2.1457672119140625e-06
