Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
705.0,1715938939.599457,1,-1.2874603271484375e-05,1715938939.5994852,2.384185791015625e-06
713.0,1715938939.6497273,1,-1.1444091796875e-05,1715938939.6497579,2.1457672119140625e-06
719.0,1715938939.6998336,1,-1.52587890625e-05,1715938939.6998658,3.0994415283203125e-06
739.0,1715938939.7500076,1,-1.4781951904296875e-05,1715938939.7500398,2.384185791015625e-06
732.0,1715938939.8001595,1,-1.4066696166992188e-05,1715938939.8001907,2.384185791015625e-06
744.0,1715938939.850389,1,-1.52587890625e-05,1715938939.850422,2.384185791015625e-06
749.0,1715938939.900352,1,-8.106231689453125e-06,1715938939.9003704,1.1920928955078125e-06
752.0,1715938939.950426,1,-8.821487426757812e-06,1715938939.9504435,9.5367431640625e-07
760.0,1715938940.0005298,1,-1.9788742065429688e-05,1715938940.0005589,7.152557373046875e-07
756.0,1715938940.051914,1,-5.0067901611328125e-06,1715938940.0519276,7.152557373046875e-07
750.0,1715938940.1020129,1,-5.0067901611328125e-06,1715938940.102026,9.5367431640625e-07
759.0,1715938940.1521735,1,-5.245208740234375e-06,1715938940.1521873,7.152557373046875e-07
756.0,1715938940.2022645,1,-5.0067901611328125e-06,1715938940.2022812,9.5367431640625e-07
750.0,1715938940.252421,1,-1.0251998901367188e-05,1715938940.2524385,7.152557373046875e-07
756.0,1715938940.302532,1,-5.9604644775390625e-06,1715938940.302546,7.152557373046875e-07
747.0,1715938940.3526917,1,-6.4373016357421875e-06,1715938940.3527055,1.1920928955078125e-06
753.0,1715938940.4027712,1,-5.4836273193359375e-06,1715938940.4027855,7.152557373046875e-07
746.0,1715938940.4529207,1,-5.0067901611328125e-06,1715938940.4529333,7.152557373046875e-07
734.0,1715938940.5042734,1,-1.0013580322265625e-05,1715938940.50429,7.152557373046875e-07
731.0,1715938940.5544093,1,-7.152557373046875e-06,1715938940.5544238,7.152557373046875e-07
718.0,1715938940.604513,1,-5.245208740234375e-06,1715938940.6045268,5.0067901611328125e-06
706.0,1715938940.6546721,1,-5.4836273193359375e-06,1715938940.6546855,7.152557373046875e-07
692.0,1715938940.7047632,1,-5.245208740234375e-06,1715938940.7047765,3.814697265625e-06
675.0,1715938940.7549024,1,-5.245208740234375e-06,1715938940.7549148,1.430511474609375e-06
652.0,1715938940.80501,1,-6.67572021484375e-06,1715938940.8050237,1.1920928955078125e-06
639.0,1715938940.855171,1,-5.4836273193359375e-06,1715938940.8551846,9.5367431640625e-07
625.0,1715938940.9052668,1,-5.0067901611328125e-06,1715938940.9052787,9.5367431640625e-07
610.0,1715938940.9566803,1,-5.245208740234375e-06,1715938940.9566936,1.1920928955078125e-06
598.0,1715938941.0067723,1,-7.152557373046875e-06,1715938941.0067866,7.152557373046875e-07
594.0,1715938941.0569248,1,-6.9141387939453125e-06,1715938941.0569391,7.152557373046875e-07
587.0,1715938941.1070125,1,-5.4836273193359375e-06,1715938941.1070263,9.5367431640625e-07
586.0,1715938941.1571608,1,-6.67572021484375e-06,1715938941.157174,7.152557373046875e-07
574.0,1715938941.2072573,1,-6.9141387939453125e-06,1715938941.2072716,9.5367431640625e-07
565.0,1715938941.2577398,1,-1.0728836059570312e-05,1715938941.2577634,1.6689300537109375e-06
556.0,1715938941.307832,1,-1.049041748046875e-05,1715938941.3078558,2.1457672119140625e-06
556.0,1715938941.3581362,1,-1.8596649169921875e-05,1715938941.358169,1.9073486328125e-06
551.0,1715938941.4083822,1,-9.298324584960938e-06,1715938941.4084036,2.1457672119140625e-06
544.0,1715938941.458479,1,-8.58306884765625e-06,1715938941.4585004,1.6689300537109375e-06
534.0,1715938941.509826,1,-9.298324584960938e-06,1715938941.5098479,1.6689300537109375e-06
