Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
519.0,1715939772.2459302,1,-1.2874603271484375e-05,1715939772.2459571,2.384185791015625e-06
518.0,1715939772.2961876,1,-1.1205673217773438e-05,1715939772.2962155,2.384185791015625e-06
505.0,1715939772.3460615,1,-1.5497207641601562e-05,1715939772.346094,2.1457672119140625e-06
503.0,1715939772.3962846,1,-1.3589859008789062e-05,1715939772.396315,2.1457672119140625e-06
492.0,1715939772.4464328,1,-1.52587890625e-05,1715939772.4464648,2.1457672119140625e-06
494.0,1715939772.4966877,1,-1.5497207641601562e-05,1715939772.4967196,2.384185791015625e-06
482.0,1715939772.546803,1,-1.4781951904296875e-05,1715939772.5468345,1.9073486328125e-06
480.0,1715939772.597047,1,-1.3828277587890625e-05,1715939772.5970771,2.6226043701171875e-06
472.0,1715939772.6471615,1,-1.1682510375976562e-05,1715939772.6471853,2.1457672119140625e-06
470.0,1715939772.6986206,1,-9.298324584960938e-06,1715939772.6986446,1.9073486328125e-06
463.0,1715939772.7487297,1,-1.1205673217773438e-05,1715939772.7487533,2.1457672119140625e-06
468.0,1715939772.7988722,1,-4.124641418457031e-05,1715939772.798931,2.1457672119140625e-06
461.0,1715939772.848926,1,-9.775161743164062e-06,1715939772.8489506,1.6689300537109375e-06
460.0,1715939772.8991163,1,-1.0728836059570312e-05,1715939772.89914,1.6689300537109375e-06
456.0,1715939772.9491916,1,-9.298324584960938e-06,1715939772.9492154,2.1457672119140625e-06
461.0,1715939772.9993973,1,-1.1682510375976562e-05,1715939772.9994216,2.1457672119140625e-06
459.0,1715939773.049501,1,-1.1205673217773438e-05,1715939773.0495257,1.9073486328125e-06
458.0,1715939773.0996423,1,-9.298324584960938e-06,1715939773.099668,1.9073486328125e-06
456.0,1715939773.15092,1,-1.1444091796875e-05,1715939773.1509442,1.9073486328125e-06
464.0,1715939773.2012646,1,-1.1444091796875e-05,1715939773.2012885,1.6689300537109375e-06
462.0,1715939773.251448,1,-9.298324584960938e-06,1715939773.2514696,1.6689300537109375e-06
467.0,1715939773.3014789,1,-7.62939453125e-06,1715939773.3015,1.430511474609375e-06
470.0,1715939773.3515267,1,-7.62939453125e-06,1715939773.3515453,1.1920928955078125e-06
475.0,1715939773.401689,1,-9.298324584960938e-06,1715939773.4017084,1.1920928955078125e-06
481.0,1715939773.4517698,1,-9.5367431640625e-06,1715939773.4517949,1.6689300537109375e-06
483.0,1715939773.5019584,1,-9.298324584960938e-06,1715939773.5019774,1.1920928955078125e-06
489.0,1715939773.5522032,1,-1.0013580322265625e-05,1715939773.5522232,1.6689300537109375e-06
497.0,1715939773.602269,1,-9.775161743164062e-06,1715939773.6022894,1.430511474609375e-06
507.0,1715939773.6523302,1,-7.62939453125e-06,1715939773.6523497,1.430511474609375e-06
511.0,1715939773.7037191,1,-7.3909759521484375e-06,1715939773.7037382,1.1920928955078125e-06
516.0,1715939773.7537723,1,-8.821487426757812e-06,1715939773.753791,1.430511474609375e-06
524.0,1715939773.804032,1,-7.62939453125e-06,1715939773.8040535,1.430511474609375e-06
534.0,1715939773.8540182,1,-7.152557373046875e-06,1715939773.8540373,1.430511474609375e-06
539.0,1715939773.9042583,1,-8.58306884765625e-06,1715939773.9042773,1.430511474609375e-06
549.0,1715939773.9542813,1,-7.3909759521484375e-06,1715939773.9543002,2.1457672119140625e-06
556.0,1715939774.004526,1,-9.059906005859375e-06,1715939774.0045445,1.6689300537109375e-06
572.0,1715939774.0545805,1,-8.344650268554688e-06,1715939774.054601,2.86102294921875e-06
586.0,1715939774.104752,1,-8.821487426757812e-06,1715939774.1047714,1.6689300537109375e-06
591.0,1715939774.156059,1,-7.152557373046875e-06,1715939774.1560764,1.430511474609375e-06
602.0,1715939774.206177,1,-7.62939453125e-06,1715939774.2061949,1.6689300537109375e-06
612.0,1715939774.2563014,1,-7.867813110351562e-06,1715939774.2563188,1.430511474609375e-06
621.0,1715939774.3064451,1,-9.298324584960938e-06,1715939774.3064642,1.6689300537109375e-06
640.0,1715939774.3564985,1,-8.106231689453125e-06,1715939774.3565166,1.1920928955078125e-06
644.0,1715939774.4067063,1,-7.3909759521484375e-06,1715939774.4067254,1.430511474609375e-06
659.0,1715939774.4567804,1,-9.298324584960938e-06,1715939774.4567997,1.430511474609375e-06
663.0,1715939774.5069528,1,-7.3909759521484375e-06,1715939774.506972,1.430511474609375e-06
663.0,1715939774.5582805,1,-9.059906005859375e-06,1715939774.5582988,1.430511474609375e-06
671.0,1715939774.6085422,1,-7.152557373046875e-06,1715939774.6085603,1.6689300537109375e-06
675.0,1715939774.6585853,1,-7.867813110351562e-06,1715939774.658607,1.6689300537109375e-06
675.0,1715939774.708755,1,-1.049041748046875e-05,1715939774.7087843,1.9073486328125e-06
679.0,1715939774.7587774,1,-1.4781951904296875e-05,1715939774.7588027,1.430511474609375e-06
685.0,1715939774.8090267,1,-7.3909759521484375e-06,1715939774.8090453,1.1920928955078125e-06
692.0,1715939774.8590553,1,-6.9141387939453125e-06,1715939774.859074,1.1920928955078125e-06
696.0,1715939774.9092393,1,-6.9141387939453125e-06,1715939774.9092588,1.1920928955078125e-06
700.0,1715939774.9592996,1,-9.059906005859375e-06,1715939774.9593186,1.1920928955078125e-06
703.0,1715939775.0107515,1,-8.821487426757812e-06,1715939775.010771,1.1920928955078125e-06
706.0,1715939775.0608635,1,-9.5367431640625e-06,1715939775.0608842,1.6689300537109375e-06
710.0,1715939775.111031,1,-9.5367431640625e-06,1715939775.1110513,1.430511474609375e-06
714.0,1715939775.161065,1,-8.821487426757812e-06,1715939775.161084,1.430511474609375e-06
718.0,1715939775.2113607,1,-7.3909759521484375e-06,1715939775.2113795,1.1920928955078125e-06
723.0,1715939775.2613955,1,-7.62939453125e-06,1715939775.2614138,1.6689300537109375e-06
727.0,1715939775.3115776,1,-7.152557373046875e-06,1715939775.311596,1.430511474609375e-06
721.0,1715939775.361655,1,-7.3909759521484375e-06,1715939775.3616743,1.1920928955078125e-06
726.0,1715939775.4118567,1,-7.3909759521484375e-06,1715939775.4118762,2.1457672119140625e-06
723.0,1715939775.4619243,1,-7.62939453125e-06,1715939775.4619448,1.430511474609375e-06
734.0,1715939775.5133781,1,-7.3909759521484375e-06,1715939775.5133977,1.6689300537109375e-06
729.0,1715939775.5633814,1,-7.62939453125e-06,1715939775.5633993,1.430511474609375e-06
729.0,1715939775.6135974,1,-7.62939453125e-06,1715939775.6136167,1.430511474609375e-06
728.0,1715939775.6636465,1,-7.3909759521484375e-06,1715939775.6636653,1.430511474609375e-06
729.0,1715939775.7137759,1,-1.5974044799804688e-05,1715939775.713804,1.1920928955078125e-06
728.0,1715939775.7639022,1,-9.298324584960938e-06,1715939775.7639208,1.6689300537109375e-06
729.0,1715939775.8141181,1,-9.059906005859375e-06,1715939775.814137,1.430511474609375e-06
