Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
455.0,1715940661.766182,1,-1.1682510375976562e-05,1715940661.76621,1.9073486328125e-06
454.0,1715940661.8167472,1,-1.430511474609375e-05,1715940661.8167818,2.1457672119140625e-06
441.0,1715940661.868671,1,-1.4543533325195312e-05,1715940661.8687005,2.1457672119140625e-06
436.0,1715940661.9167874,1,-5.507469177246094e-05,1715940661.9168599,1.9073486328125e-06
424.0,1715940661.9668584,1,-1.4781951904296875e-05,1715940661.9668896,2.1457672119140625e-06
431.0,1715940662.017023,1,-1.3828277587890625e-05,1715940662.0170522,2.384185791015625e-06
422.0,1715940662.0672405,1,-1.5497207641601562e-05,1715940662.0672722,2.1457672119140625e-06
424.0,1715940662.117421,1,-1.2874603271484375e-05,1715940662.117448,2.384185791015625e-06
415.0,1715940662.1675045,1,-1.049041748046875e-05,1715940662.1675274,1.6689300537109375e-06
409.0,1715940662.219046,1,-8.106231689453125e-06,1715940662.2190697,1.6689300537109375e-06
412.0,1715940662.268787,1,-5.0067901611328125e-06,1715940662.2687984,9.5367431640625e-07
410.0,1715940662.3189278,1,-5.0067901611328125e-06,1715940662.3189435,7.152557373046875e-07
409.0,1715940662.3690636,1,-4.291534423828125e-06,1715940662.3690763,7.152557373046875e-07
412.0,1715940662.419203,1,-4.5299530029296875e-06,1715940662.4192142,1.6689300537109375e-06
409.0,1715940662.4692903,1,-6.4373016357421875e-06,1715940662.469307,7.152557373046875e-07
408.0,1715940662.5194206,1,-5.0067901611328125e-06,1715940662.519434,7.152557373046875e-07
406.0,1715940662.5695364,1,-4.76837158203125e-06,1715940662.5695503,7.152557373046875e-07
408.0,1715940662.6196897,1,-6.67572021484375e-06,1715940662.619703,4.76837158203125e-07
410.0,1715940662.6710453,1,-4.76837158203125e-06,1715940662.6710582,7.152557373046875e-07
418.0,1715940662.7211978,1,-4.76837158203125e-06,1715940662.721209,7.152557373046875e-07
418.0,1715940662.7714167,1,-4.76837158203125e-06,1715940662.7714283,1.1920928955078125e-06
423.0,1715940662.821574,1,-6.4373016357421875e-06,1715940662.8215868,7.152557373046875e-07
423.0,1715940662.8716633,1,-4.76837158203125e-06,1715940662.8716748,9.5367431640625e-07
429.0,1715940662.9217908,1,-5.245208740234375e-06,1715940662.9218044,7.152557373046875e-07
429.0,1715940662.9722807,1,-1.6927719116210938e-05,1715940662.9723103,1.9073486328125e-06
433.0,1715940663.0224035,1,-8.58306884765625e-06,1715940663.0224237,1.9073486328125e-06
439.0,1715940663.0725293,1,-8.106231689453125e-06,1715940663.072549,1.9073486328125e-06
444.0,1715940663.122626,1,-8.106231689453125e-06,1715940663.1226468,1.6689300537109375e-06
451.0,1715940663.1739376,1,-9.298324584960938e-06,1715940663.1739597,1.430511474609375e-06
461.0,1715940663.2241488,1,-1.0251998901367188e-05,1715940663.224171,1.6689300537109375e-06
459.0,1715940663.2741811,1,-1.0013580322265625e-05,1715940663.2742035,1.9073486328125e-06
466.0,1715940663.324583,1,-1.0251998901367188e-05,1715940663.3246062,2.1457672119140625e-06
471.0,1715940663.374716,1,-1.049041748046875e-05,1715940663.3747392,1.9073486328125e-06
483.0,1715940663.4248672,1,-9.298324584960938e-06,1715940663.424889,1.9073486328125e-06
490.0,1715940663.4749703,1,-8.58306884765625e-06,1715940663.4749932,1.6689300537109375e-06
502.0,1715940663.5251677,1,-8.106231689453125e-06,1715940663.5251894,1.9073486328125e-06
505.0,1715940663.575263,1,-1.049041748046875e-05,1715940663.575286,1.6689300537109375e-06
511.0,1715940663.6255083,1,-1.0251998901367188e-05,1715940663.625531,1.430511474609375e-06
517.0,1715940663.6757002,1,-8.344650268554688e-06,1715940663.6757212,2.1457672119140625e-06
526.0,1715940663.7258437,1,-9.298324584960938e-06,1715940663.7258704,1.430511474609375e-06
527.0,1715940663.7772365,1,-8.106231689453125e-06,1715940663.7772608,1.9073486328125e-06
537.0,1715940663.8273983,1,-9.059906005859375e-06,1715940663.82742,2.384185791015625e-06
538.0,1715940663.8774645,1,-9.059906005859375e-06,1715940663.8774872,2.384185791015625e-06
547.0,1715940663.9277186,1,-8.344650268554688e-06,1715940663.9277413,1.6689300537109375e-06
551.0,1715940663.9778132,1,-8.58306884765625e-06,1715940663.977842,1.9073486328125e-06
562.0,1715940664.0280952,1,-1.0013580322265625e-05,1715940664.0281181,1.430511474609375e-06
563.0,1715940664.078246,1,-8.344650268554688e-06,1715940664.0782676,2.86102294921875e-06
573.0,1715940664.1284306,1,-8.821487426757812e-06,1715940664.1284535,1.6689300537109375e-06
