Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
734.0,1715939249.529299,1,-1.1444091796875e-05,1715939249.5293248,2.1457672119140625e-06
744.0,1715939249.5796251,1,-1.2159347534179688e-05,1715939249.5796545,2.1457672119140625e-06
745.0,1715939249.629565,1,-1.2159347534179688e-05,1715939249.6295903,1.430511474609375e-06
743.0,1715939249.6797292,1,-1.1682510375976562e-05,1715939249.679754,1.6689300537109375e-06
751.0,1715939249.7324069,1,-1.2874603271484375e-05,1715939249.7324345,1.430511474609375e-06
762.0,1715939249.780103,1,-1.0251998901367188e-05,1715939249.780131,1.430511474609375e-06
774.0,1715939249.8299637,1,-9.775161743164062e-06,1715939249.8299837,7.152557373046875e-07
760.0,1715939249.8805685,1,-1.4066696166992188e-05,1715939249.880601,2.1457672119140625e-06
757.0,1715939249.930582,1,-8.58306884765625e-06,1715939249.930607,1.9073486328125e-06
762.0,1715939249.982048,1,-8.821487426757812e-06,1715939249.982073,1.9073486328125e-06
764.0,1715939250.032285,1,-8.821487426757812e-06,1715939250.0323105,1.9073486328125e-06
766.0,1715939250.0825276,1,-1.0251998901367188e-05,1715939250.0825517,2.1457672119140625e-06
756.0,1715939250.1326988,1,-9.059906005859375e-06,1715939250.1327252,1.9073486328125e-06
762.0,1715939250.1827674,1,-1.0251998901367188e-05,1715939250.1828327,3.337860107421875e-06
757.0,1715939250.2328322,1,-9.5367431640625e-06,1715939250.2328587,1.6689300537109375e-06
762.0,1715939250.2830591,1,-9.5367431640625e-06,1715939250.2830827,2.6226043701171875e-06
749.0,1715939250.3331418,1,-9.298324584960938e-06,1715939250.3331733,1.9073486328125e-06
754.0,1715939250.3832846,1,-1.0251998901367188e-05,1715939250.383309,1.6689300537109375e-06
752.0,1715939250.4333246,1,-9.059906005859375e-06,1715939250.4333503,2.1457672119140625e-06
747.0,1715939250.484755,1,-1.049041748046875e-05,1715939250.4847798,1.430511474609375e-06
742.0,1715939250.5348277,1,-9.298324584960938e-06,1715939250.534854,1.430511474609375e-06
748.0,1715939250.5850253,1,-8.821487426757812e-06,1715939250.5850515,1.9073486328125e-06
737.0,1715939250.635194,1,-9.298324584960938e-06,1715939250.6352198,1.6689300537109375e-06
736.0,1715939250.685504,1,-9.5367431640625e-06,1715939250.6855278,2.6226043701171875e-06
718.0,1715939250.735736,1,-1.049041748046875e-05,1715939250.7357612,2.384185791015625e-06
722.0,1715939250.7858918,1,-8.344650268554688e-06,1715939250.785918,1.6689300537109375e-06
712.0,1715939250.8360538,1,-9.298324584960938e-06,1715939250.836079,1.9073486328125e-06
715.0,1715939250.8863072,1,-8.344650268554688e-06,1715939250.8863328,1.430511474609375e-06
707.0,1715939250.9365444,1,-1.0013580322265625e-05,1715939250.9365687,1.9073486328125e-06
706.0,1715939250.9886339,1,-9.059906005859375e-06,1715939250.9886577,2.6226043701171875e-06
691.0,1715939251.0367105,1,-1.0251998901367188e-05,1715939251.0367355,1.6689300537109375e-06
693.0,1715939251.0868783,1,-1.049041748046875e-05,1715939251.0869033,1.9073486328125e-06
677.0,1715939251.138267,1,-9.298324584960938e-06,1715939251.1382937,2.1457672119140625e-06
677.0,1715939251.1884284,1,-1.0251998901367188e-05,1715939251.1884534,1.9073486328125e-06
659.0,1715939251.238517,1,-8.58306884765625e-06,1715939251.238543,1.9073486328125e-06
660.0,1715939251.2887204,1,-1.049041748046875e-05,1715939251.2887464,1.6689300537109375e-06
647.0,1715939251.3389978,1,-8.58306884765625e-06,1715939251.3390205,1.9073486328125e-06
639.0,1715939251.3891644,1,-8.58306884765625e-06,1715939251.3891878,1.9073486328125e-06
