Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
508.0,1715940127.7538726,1,-1.71661376953125e-05,1715940127.753906,2.1457672119140625e-06
513.0,1715940127.804274,1,-1.1444091796875e-05,1715940127.8043025,1.9073486328125e-06
522.0,1715940127.8554199,1,-1.3828277587890625e-05,1715940127.8554497,2.6226043701171875e-06
528.0,1715940127.9055626,1,-1.2636184692382812e-05,1715940127.9055932,1.9073486328125e-06
529.0,1715940127.9556582,1,-1.3828277587890625e-05,1715940127.9556909,1.9073486328125e-06
541.0,1715940128.0056822,1,-1.0251998901367188e-05,1715940128.005708,1.9073486328125e-06
547.0,1715940128.0557697,1,-1.52587890625e-05,1715940128.0557983,1.430511474609375e-06
557.0,1715940128.1059334,1,-9.059906005859375e-06,1715940128.1059556,1.430511474609375e-06
562.0,1715940128.1560671,1,-6.67572021484375e-06,1715940128.1560853,1.1920928955078125e-06
574.0,1715940128.2061567,1,-6.198883056640625e-06,1715940128.2061741,1.430511474609375e-06
577.0,1715940128.2575061,1,-7.867813110351562e-06,1715940128.257525,9.5367431640625e-07
585.0,1715940128.3076382,1,-6.4373016357421875e-06,1715940128.3076572,1.430511474609375e-06
590.0,1715940128.3577473,1,-6.4373016357421875e-06,1715940128.3577662,2.1457672119140625e-06
597.0,1715940128.408069,1,-7.152557373046875e-06,1715940128.4080894,1.430511474609375e-06
601.0,1715940128.4580774,1,-8.344650268554688e-06,1715940128.4580977,1.1920928955078125e-06
612.0,1715940128.508241,1,-8.344650268554688e-06,1715940128.5082603,1.430511474609375e-06
613.0,1715940128.5582728,1,-8.106231689453125e-06,1715940128.5582917,1.6689300537109375e-06
632.0,1715940128.608453,1,-6.4373016357421875e-06,1715940128.6084723,1.1920928955078125e-06
630.0,1715940128.658538,1,-6.67572021484375e-06,1715940128.6585574,1.1920928955078125e-06
635.0,1715940128.7099397,1,-7.3909759521484375e-06,1715940128.7099578,1.430511474609375e-06
