Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
716.0,1715940420.4356441,1,-1.3113021850585938e-05,1715940420.4356718,2.384185791015625e-06
718.0,1715940420.4867163,1,-1.1205673217773438e-05,1715940420.486743,2.1457672119140625e-06
714.0,1715940420.5358515,1,-1.33514404296875e-05,1715940420.535882,2.1457672119140625e-06
720.0,1715940420.5860808,1,-1.52587890625e-05,1715940420.5861113,2.1457672119140625e-06
716.0,1715940420.6361744,1,-1.4543533325195312e-05,1715940420.6362133,1.9073486328125e-06
722.0,1715940420.6864097,1,-1.4543533325195312e-05,1715940420.6864388,2.1457672119140625e-06
716.0,1715940420.7365448,1,-2.0265579223632812e-05,1715940420.736581,2.1457672119140625e-06
726.0,1715940420.786666,1,-1.33514404296875e-05,1715940420.786695,1.9073486328125e-06
726.0,1715940420.8368437,1,-1.0251998901367188e-05,1715940420.8368669,1.9073486328125e-06
742.0,1715940420.8870466,1,-9.059906005859375e-06,1715940420.8870764,1.430511474609375e-06
736.0,1715940420.9370859,1,-8.344650268554688e-06,1715940420.9371076,2.384185791015625e-06
738.0,1715940420.988251,1,-6.4373016357421875e-06,1715940420.988264,9.5367431640625e-07
732.0,1715940421.0382977,1,-4.76837158203125e-06,1715940421.038311,7.152557373046875e-07
726.0,1715940421.0887566,1,-8.106231689453125e-06,1715940421.0887785,1.9073486328125e-06
713.0,1715940421.1388283,1,-9.059906005859375e-06,1715940421.1388485,1.6689300537109375e-06
712.0,1715940421.1890178,1,-8.344650268554688e-06,1715940421.1890388,1.9073486328125e-06
698.0,1715940421.239139,1,-7.867813110351562e-06,1715940421.2391589,1.6689300537109375e-06
706.0,1715940421.2892523,1,-8.106231689453125e-06,1715940421.2892716,1.430511474609375e-06
693.0,1715940421.3393533,1,-8.106231689453125e-06,1715940421.3393734,1.6689300537109375e-06
691.0,1715940421.3895268,1,-8.58306884765625e-06,1715940421.3895473,1.6689300537109375e-06
684.0,1715940421.4408026,1,-8.106231689453125e-06,1715940421.4408224,1.6689300537109375e-06
692.0,1715940421.490955,1,-1.049041748046875e-05,1715940421.4909856,2.1457672119140625e-06
682.0,1715940421.5411148,1,-1.049041748046875e-05,1715940421.541138,1.6689300537109375e-06
687.0,1715940421.5912318,1,-9.5367431640625e-06,1715940421.5912535,1.6689300537109375e-06
674.0,1715940421.6413527,1,-8.58306884765625e-06,1715940421.6413743,1.9073486328125e-06
691.0,1715940421.691628,1,-9.775161743164062e-06,1715940421.691649,2.1457672119140625e-06
678.0,1715940421.7417316,1,-9.298324584960938e-06,1715940421.741752,1.9073486328125e-06
674.0,1715940421.7918694,1,-8.58306884765625e-06,1715940421.7918904,2.384185791015625e-06
653.0,1715940421.8421118,1,-1.0251998901367188e-05,1715940421.8421335,1.430511474609375e-06
646.0,1715940421.8924518,1,-8.344650268554688e-06,1715940421.8924735,2.6226043701171875e-06
628.0,1715940421.9437268,1,-9.298324584960938e-06,1715940421.9437475,1.9073486328125e-06
622.0,1715940421.9938698,1,-8.344650268554688e-06,1715940421.9938905,2.1457672119140625e-06
606.0,1715940422.0440345,1,-9.059906005859375e-06,1715940422.0440588,1.9073486328125e-06
600.0,1715940422.094187,1,-9.298324584960938e-06,1715940422.094211,1.6689300537109375e-06
579.0,1715940422.1443489,1,-1.0251998901367188e-05,1715940422.14437,1.6689300537109375e-06
578.0,1715940422.194446,1,-1.0013580322265625e-05,1715940422.194467,1.9073486328125e-06
564.0,1715940422.2445312,1,-1.0013580322265625e-05,1715940422.2445524,8.106231689453125e-06
559.0,1715940422.2946482,1,-9.775161743164062e-06,1715940422.2946699,1.430511474609375e-06
544.0,1715940422.3447154,1,-1.0251998901367188e-05,1715940422.3447375,2.1457672119140625e-06
538.0,1715940422.3962903,1,-8.106231689453125e-06,1715940422.3963137,1.430511474609375e-06
524.0,1715940422.446211,1,-1.049041748046875e-05,1715940422.4462333,1.6689300537109375e-06
520.0,1715940422.4964864,1,-8.106231689453125e-06,1715940422.4965074,2.1457672119140625e-06
501.0,1715940422.5464623,1,-9.298324584960938e-06,1715940422.5464833,1.6689300537109375e-06
493.0,1715940422.5967448,1,-1.049041748046875e-05,1715940422.596767,1.6689300537109375e-06
487.0,1715940422.646746,1,-1.0013580322265625e-05,1715940422.6467679,1.9073486328125e-06
477.0,1715940422.696884,1,-9.5367431640625e-06,1715940422.6969051,1.9073486328125e-06
468.0,1715940422.7470164,1,-9.775161743164062e-06,1715940422.7470384,1.6689300537109375e-06
463.0,1715940422.7971203,1,-8.821487426757812e-06,1715940422.7971442,1.430511474609375e-06
