Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
786.0,1715939092.68035,1,-6.4373016357421875e-06,1715939092.6803656,7.152557373046875e-07
786.0,1715939092.7304935,1,-7.62939453125e-06,1715939092.7305098,1.1920928955078125e-06
777.0,1715939092.780933,1,-1.52587890625e-05,1715939092.7809653,2.384185791015625e-06
782.0,1715939092.8312085,1,-1.52587890625e-05,1715939092.831241,2.1457672119140625e-06
772.0,1715939092.881374,1,-1.4781951904296875e-05,1715939092.8814049,2.384185791015625e-06
776.0,1715939092.9315429,1,-1.5497207641601562e-05,1715939092.9315755,2.384185791015625e-06
763.0,1715939092.9816444,1,-1.4781951904296875e-05,1715939092.9816763,2.1457672119140625e-06
761.0,1715939093.0318422,1,-1.430511474609375e-05,1715939093.031874,2.384185791015625e-06
753.0,1715939093.08188,1,-9.298324584960938e-06,1715939093.0819044,1.6689300537109375e-06
748.0,1715939093.1322794,1,-1.0728836059570312e-05,1715939093.132303,1.6689300537109375e-06
742.0,1715939093.1823516,1,-9.298324584960938e-06,1715939093.1823757,1.9073486328125e-06
738.0,1715939093.2326279,1,-1.1205673217773438e-05,1715939093.2326517,1.9073486328125e-06
733.0,1715939093.2838922,1,-1.049041748046875e-05,1715939093.283915,1.6689300537109375e-06
731.0,1715939093.3341944,1,-1.1444091796875e-05,1715939093.3342185,1.6689300537109375e-06
717.0,1715939093.3843484,1,-9.5367431640625e-06,1715939093.3843734,1.6689300537109375e-06
715.0,1715939093.4344058,1,-1.0967254638671875e-05,1715939093.434439,1.430511474609375e-06
702.0,1715939093.484521,1,-1.0013580322265625e-05,1715939093.4845445,1.9073486328125e-06
702.0,1715939093.5346522,1,-9.298324584960938e-06,1715939093.5346837,1.6689300537109375e-06
684.0,1715939093.584915,1,-9.5367431640625e-06,1715939093.58494,1.9073486328125e-06
682.0,1715939093.6351612,1,-1.0967254638671875e-05,1715939093.635185,1.6689300537109375e-06
666.0,1715939093.6853647,1,-9.059906005859375e-06,1715939093.685389,2.1457672119140625e-06
656.0,1715939093.7357001,1,-9.5367431640625e-06,1715939093.7357256,1.6689300537109375e-06
648.0,1715939093.7859857,1,-9.775161743164062e-06,1715939093.7860117,1.6689300537109375e-06
642.0,1715939093.8362567,1,-1.049041748046875e-05,1715939093.83628,1.430511474609375e-06
632.0,1715939093.886365,1,-9.059906005859375e-06,1715939093.8863888,1.430511474609375e-06
621.0,1715939093.9366262,1,-1.049041748046875e-05,1715939093.9366503,1.430511474609375e-06
616.0,1715939093.9866612,1,-1.0728836059570312e-05,1715939093.9866843,1.6689300537109375e-06
612.0,1715939094.0369449,1,-1.0967254638671875e-05,1715939094.0369682,1.6689300537109375e-06
601.0,1715939094.0869808,1,-1.0013580322265625e-05,1715939094.0870032,1.9073486328125e-06
593.0,1715939094.1383817,1,-9.5367431640625e-06,1715939094.1384068,1.430511474609375e-06
588.0,1715939094.1885083,1,-1.049041748046875e-05,1715939094.1885312,1.9073486328125e-06
584.0,1715939094.2386703,1,-1.0728836059570312e-05,1715939094.2386954,2.1457672119140625e-06
579.0,1715939094.2887144,1,-1.0013580322265625e-05,1715939094.2887368,2.6226043701171875e-06
577.0,1715939094.3389184,1,-9.5367431640625e-06,1715939094.3389435,2.1457672119140625e-06
563.0,1715939094.3889825,1,-9.5367431640625e-06,1715939094.3890069,1.6689300537109375e-06
562.0,1715939094.4391685,1,-9.5367431640625e-06,1715939094.439194,1.6689300537109375e-06
553.0,1715939094.4892015,1,-9.5367431640625e-06,1715939094.4892263,1.6689300537109375e-06
545.0,1715939094.5393772,1,-1.0967254638671875e-05,1715939094.539401,1.6689300537109375e-06
540.0,1715939094.5908537,1,-9.298324584960938e-06,1715939094.5908785,1.430511474609375e-06
543.0,1715939094.6399188,1,-1.1205673217773438e-05,1715939094.640013,2.1457672119140625e-06
544.0,1715939094.6912282,1,-1.0967254638671875e-05,1715939094.6912518,1.430511474609375e-06
535.0,1715939094.7413852,1,-8.821487426757812e-06,1715939094.7414103,1.6689300537109375e-06
528.0,1715939094.79162,1,-9.298324584960938e-06,1715939094.791643,1.6689300537109375e-06
521.0,1715939094.841753,1,-9.298324584960938e-06,1715939094.8417747,1.6689300537109375e-06
513.0,1715939094.8918579,1,-9.775161743164062e-06,1715939094.89188,1.6689300537109375e-06
513.0,1715939094.9420257,1,-9.059906005859375e-06,1715939094.942047,1.9073486328125e-06
507.0,1715939094.9921947,1,-9.298324584960938e-06,1715939094.992216,1.6689300537109375e-06
505.0,1715939095.042327,1,-8.821487426757812e-06,1715939095.0423489,1.6689300537109375e-06
514.0,1715939095.092424,1,-1.0013580322265625e-05,1715939095.0924835,1.9073486328125e-06
520.0,1715939095.1426165,1,-9.059906005859375e-06,1715939095.142638,1.6689300537109375e-06
524.0,1715939095.1941206,1,-9.059906005859375e-06,1715939095.1941447,1.9073486328125e-06
532.0,1715939095.2443466,1,-1.0967254638671875e-05,1715939095.2443707,2.1457672119140625e-06
