Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
513.0,1715939826.2008665,1,-1.2159347534179688e-05,1715939826.200894,2.1457672119140625e-06
520.0,1715939826.2510006,1,-1.1682510375976562e-05,1715939826.2510307,1.9073486328125e-06
512.0,1715939826.3009827,1,-1.430511474609375e-05,1715939826.3010144,2.1457672119140625e-06
523.0,1715939826.3512073,1,-1.52587890625e-05,1715939826.3512402,2.1457672119140625e-06
525.0,1715939826.401237,1,-1.5497207641601562e-05,1715939826.401268,3.0994415283203125e-06
538.0,1715939826.4514084,1,-1.52587890625e-05,1715939826.4514408,1.9073486328125e-06
541.0,1715939826.5027246,1,-1.4781951904296875e-05,1715939826.502757,1.9073486328125e-06
553.0,1715939826.5517998,1,-1.4781951904296875e-05,1715939826.5518403,2.1457672119140625e-06
552.0,1715939826.6032891,1,-1.0728836059570312e-05,1715939826.6033218,2.1457672119140625e-06
563.0,1715939826.653422,1,-9.298324584960938e-06,1715939826.6534445,1.6689300537109375e-06
562.0,1715939826.7034988,1,-9.059906005859375e-06,1715939826.7035222,1.6689300537109375e-06
577.0,1715939826.7536008,1,-9.5367431640625e-06,1715939826.7536268,1.9073486328125e-06
580.0,1715939826.8037615,1,-1.0251998901367188e-05,1715939826.8037846,1.9073486328125e-06
594.0,1715939826.8535807,1,-6.67572021484375e-06,1715939826.8535945,9.5367431640625e-07
596.0,1715939826.9037013,1,-5.7220458984375e-06,1715939826.903716,7.152557373046875e-07
597.0,1715939826.9543018,1,-1.0251998901367188e-05,1715939826.954334,1.430511474609375e-06
602.0,1715939827.0045323,1,-9.059906005859375e-06,1715939827.0045578,1.6689300537109375e-06
611.0,1715939827.054834,1,-8.821487426757812e-06,1715939827.0548582,1.9073486328125e-06
615.0,1715939827.1049106,1,-1.0251998901367188e-05,1715939827.1049414,1.9073486328125e-06
626.0,1715939827.1550424,1,-8.821487426757812e-06,1715939827.1551044,2.1457672119140625e-06
631.0,1715939827.2052436,1,-9.298324584960938e-06,1715939827.205266,1.430511474609375e-06
642.0,1715939827.256656,1,-9.059906005859375e-06,1715939827.2566807,1.6689300537109375e-06
648.0,1715939827.3067455,1,-1.0728836059570312e-05,1715939827.3067698,2.1457672119140625e-06
658.0,1715939827.356879,1,-1.0728836059570312e-05,1715939827.3569038,1.6689300537109375e-06
663.0,1715939827.4069605,1,-1.1205673217773438e-05,1715939827.406985,1.6689300537109375e-06
678.0,1715939827.457176,1,-1.0728836059570312e-05,1715939827.4572,1.9073486328125e-06
678.0,1715939827.5072963,1,-1.0728836059570312e-05,1715939827.5073204,1.6689300537109375e-06
684.0,1715939827.5574322,1,-1.049041748046875e-05,1715939827.5574558,1.9073486328125e-06
689.0,1715939827.607557,1,-8.58306884765625e-06,1715939827.6075826,1.9073486328125e-06
696.0,1715939827.6578014,1,-1.0013580322265625e-05,1715939827.6578257,1.9073486328125e-06
705.0,1715939827.7118342,1,-1.0728836059570312e-05,1715939827.7118583,1.6689300537109375e-06
722.0,1715939827.7593393,1,-9.059906005859375e-06,1715939827.7593648,2.1457672119140625e-06
722.0,1715939827.8095562,1,-9.775161743164062e-06,1715939827.809583,1.6689300537109375e-06
729.0,1715939827.8598824,1,-1.0967254638671875e-05,1715939827.8599074,1.6689300537109375e-06
729.0,1715939827.9126728,1,-1.621246337890625e-05,1715939827.912705,1.9073486328125e-06
737.0,1715939827.9603546,1,-1.0251998901367188e-05,1715939827.9603815,1.430511474609375e-06
726.0,1715939828.0104086,1,-8.58306884765625e-06,1715939828.0104337,1.9073486328125e-06
725.0,1715939828.0606656,1,-1.0728836059570312e-05,1715939828.0606961,1.9073486328125e-06
724.0,1715939828.1107564,1,-9.5367431640625e-06,1715939828.1107812,1.6689300537109375e-06
730.0,1715939828.1644979,1,-1.0728836059570312e-05,1715939828.164522,1.9073486328125e-06
726.0,1715939828.211144,1,-9.298324584960938e-06,1715939828.2111685,1.6689300537109375e-06
730.0,1715939828.2613068,1,-9.059906005859375e-06,1715939828.261332,1.6689300537109375e-06
729.0,1715939828.311523,1,-9.775161743164062e-06,1715939828.311549,1.6689300537109375e-06
728.0,1715939828.3618,1,-1.7642974853515625e-05,1715939828.3618321,1.6689300537109375e-06
722.0,1715939828.4126766,1,-9.298324584960938e-06,1715939828.4127014,2.1457672119140625e-06
726.0,1715939828.4620388,1,-1.0251998901367188e-05,1715939828.4620636,1.9073486328125e-06
719.0,1715939828.5123038,1,-1.0728836059570312e-05,1715939828.5123281,2.6226043701171875e-06
719.0,1715939828.5646086,1,-9.298324584960938e-06,1715939828.5646338,1.430511474609375e-06
718.0,1715939828.6137776,1,-9.298324584960938e-06,1715939828.613803,1.9073486328125e-06
718.0,1715939828.663918,1,-1.0251998901367188e-05,1715939828.6639905,3.0994415283203125e-06
721.0,1715939828.714011,1,-9.298324584960938e-06,1715939828.7140365,1.9073486328125e-06
719.0,1715939828.764385,1,-1.0251998901367188e-05,1715939828.7644083,1.6689300537109375e-06
712.0,1715939828.8145208,1,-1.049041748046875e-05,1715939828.8145444,1.6689300537109375e-06
715.0,1715939828.864761,1,-9.298324584960938e-06,1715939828.8647869,1.9073486328125e-06
707.0,1715939828.9147925,1,-8.344650268554688e-06,1715939828.9148169,1.6689300537109375e-06
703.0,1715939828.9650426,1,-9.059906005859375e-06,1715939828.9650686,1.6689300537109375e-06
697.0,1715939829.015149,1,-8.58306884765625e-06,1715939829.015173,1.9073486328125e-06
688.0,1715939829.065343,1,-8.821487426757812e-06,1715939829.0653684,1.6689300537109375e-06
683.0,1715939829.1166608,1,-8.821487426757812e-06,1715939829.116685,1.430511474609375e-06
684.0,1715939829.1656861,1,-1.5497207641601562e-05,1715939829.1657152,1.6689300537109375e-06
676.0,1715939829.2170203,1,-1.0013580322265625e-05,1715939829.2170434,1.9073486328125e-06
672.0,1715939829.2671876,1,-1.1444091796875e-05,1715939829.2672124,1.430511474609375e-06
665.0,1715939829.3172758,1,-1.049041748046875e-05,1715939829.3172996,2.6226043701171875e-06
664.0,1715939829.3675637,1,-9.298324584960938e-06,1715939829.36759,1.6689300537109375e-06
649.0,1715939829.4177644,1,-9.298324584960938e-06,1715939829.4177897,2.1457672119140625e-06
647.0,1715939829.46793,1,-9.5367431640625e-06,1715939829.4680398,1.6689300537109375e-06
636.0,1715939829.5179908,1,-1.0251998901367188e-05,1715939829.5180137,1.430511474609375e-06
630.0,1715939829.568221,1,-1.1205673217773438e-05,1715939829.5682456,1.9073486328125e-06
621.0,1715939829.6182144,1,-9.5367431640625e-06,1715939829.618241,1.6689300537109375e-06
615.0,1715939829.6685562,1,-1.0728836059570312e-05,1715939829.6685805,1.9073486328125e-06
606.0,1715939829.7186108,1,-1.1205673217773438e-05,1715939829.718635,1.430511474609375e-06
598.0,1715939829.7700267,1,-1.0251998901367188e-05,1715939829.7700508,2.6226043701171875e-06
588.0,1715939829.8203185,1,-4.029273986816406e-05,1715939829.8203766,1.430511474609375e-06
