Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
573.0,1715940626.4789193,1,-1.3113021850585938e-05,1715940626.4789484,2.1457672119140625e-06
580.0,1715940626.5293674,1,-1.2636184692382812e-05,1715940626.5293977,2.1457672119140625e-06
579.0,1715940626.5791001,1,-1.5020370483398438e-05,1715940626.5791323,2.1457672119140625e-06
591.0,1715940626.6293566,1,-1.5020370483398438e-05,1715940626.6293888,2.384185791015625e-06
593.0,1715940626.6795778,1,-1.4066696166992188e-05,1715940626.6796093,2.1457672119140625e-06
602.0,1715940626.7298875,1,-1.4781951904296875e-05,1715940626.7299206,1.9073486328125e-06
601.0,1715940626.7801454,1,-1.430511474609375e-05,1715940626.7801769,2.384185791015625e-06
608.0,1715940626.8302658,1,-1.3589859008789062e-05,1715940626.8302968,2.1457672119140625e-06
603.0,1715940626.8803785,1,-1.049041748046875e-05,1715940626.8804023,2.86102294921875e-06
609.0,1715940626.9306023,1,-8.58306884765625e-06,1715940626.9306266,1.430511474609375e-06
610.0,1715940626.9807837,1,-8.58306884765625e-06,1715940626.980808,1.6689300537109375e-06
619.0,1715940627.0323124,1,-1.0251998901367188e-05,1715940627.0323353,2.6226043701171875e-06
625.0,1715940627.0822961,1,-9.775161743164062e-06,1715940627.0823185,1.9073486328125e-06
628.0,1715940627.1325648,1,-9.059906005859375e-06,1715940627.132589,1.6689300537109375e-06
624.0,1715940627.1825757,1,-1.0967254638671875e-05,1715940627.1825998,1.9073486328125e-06
628.0,1715940627.2328112,1,-1.0251998901367188e-05,1715940627.232835,1.6689300537109375e-06
631.0,1715940627.2825952,1,-6.67572021484375e-06,1715940627.2826092,9.5367431640625e-07
626.0,1715940627.3327556,1,-4.76837158203125e-06,1715940627.332768,7.152557373046875e-07
627.0,1715940627.382856,1,-5.245208740234375e-06,1715940627.3828697,7.152557373046875e-07
628.0,1715940627.4330225,1,-5.4836273193359375e-06,1715940627.433035,9.5367431640625e-07
629.0,1715940627.4832332,1,-4.76837158203125e-06,1715940627.4832475,9.5367431640625e-07
627.0,1715940627.5333807,1,-6.67572021484375e-06,1715940627.5333953,7.152557373046875e-07
627.0,1715940627.5847285,1,-6.67572021484375e-06,1715940627.5847425,9.5367431640625e-07
625.0,1715940627.6349037,1,-4.76837158203125e-06,1715940627.634916,9.5367431640625e-07
629.0,1715940627.6849928,1,-5.0067901611328125e-06,1715940627.685007,7.152557373046875e-07
627.0,1715940627.7351506,1,-5.0067901611328125e-06,1715940627.7351646,7.152557373046875e-07
626.0,1715940627.7852502,1,-5.245208740234375e-06,1715940627.785264,1.1920928955078125e-06
622.0,1715940627.835349,1,-5.245208740234375e-06,1715940627.835363,7.152557373046875e-07
622.0,1715940627.885481,1,-5.4836273193359375e-06,1715940627.8854957,7.152557373046875e-07
619.0,1715940627.9357877,1,-7.152557373046875e-06,1715940627.9358068,1.1920928955078125e-06
619.0,1715940627.9871597,1,-8.58306884765625e-06,1715940627.9871786,1.1920928955078125e-06
618.0,1715940628.037262,1,-9.5367431640625e-06,1715940628.0372813,1.430511474609375e-06
619.0,1715940628.0873988,1,-7.3909759521484375e-06,1715940628.0874176,1.1920928955078125e-06
617.0,1715940628.1375504,1,-7.152557373046875e-06,1715940628.1375694,1.6689300537109375e-06
614.0,1715940628.1876392,1,-6.9141387939453125e-06,1715940628.1876578,1.1920928955078125e-06
607.0,1715940628.2377915,1,-8.58306884765625e-06,1715940628.23781,1.6689300537109375e-06
606.0,1715940628.2878766,1,-8.821487426757812e-06,1715940628.287896,1.1920928955078125e-06
602.0,1715940628.3380744,1,-8.58306884765625e-06,1715940628.338093,1.1920928955078125e-06
598.0,1715940628.388207,1,-8.106231689453125e-06,1715940628.388225,1.1920928955078125e-06
594.0,1715940628.4394798,1,-6.9141387939453125e-06,1715940628.4394972,1.1920928955078125e-06
593.0,1715940628.492438,1,-6.67572021484375e-06,1715940628.492457,1.430511474609375e-06
588.0,1715940628.5396762,1,-6.198883056640625e-06,1715940628.539691,9.5367431640625e-07
585.0,1715940628.5897498,1,-5.9604644775390625e-06,1715940628.5897648,9.5367431640625e-07
584.0,1715940628.6398225,1,-5.0067901611328125e-06,1715940628.639835,7.152557373046875e-07
578.0,1715940628.6902795,1,-8.58306884765625e-06,1715940628.690301,1.6689300537109375e-06
575.0,1715940628.7405865,1,-9.775161743164062e-06,1715940628.7406092,1.9073486328125e-06
