Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
795.0,1715939344.5574038,1,-1.2636184692382812e-05,1715939344.5574307,2.384185791015625e-06
803.0,1715939344.6075459,1,-1.239776611328125e-05,1715939344.607573,1.9073486328125e-06
798.0,1715939344.6575344,1,-1.4543533325195312e-05,1715939344.6575642,2.384185791015625e-06
807.0,1715939344.7077887,1,-1.3113021850585938e-05,1715939344.7078187,2.384185791015625e-06
800.0,1715939344.7579014,1,-1.5020370483398438e-05,1715939344.757933,2.1457672119140625e-06
808.0,1715939344.8081417,1,-1.4781951904296875e-05,1715939344.8081727,2.1457672119140625e-06
799.0,1715939344.8582966,1,-1.52587890625e-05,1715939344.8583262,2.1457672119140625e-06
799.0,1715939344.9084835,1,-1.3828277587890625e-05,1715939344.908513,2.1457672119140625e-06
786.0,1715939344.9606042,1,-9.298324584960938e-06,1715939344.960628,1.6689300537109375e-06
792.0,1715939345.009904,1,-8.821487426757812e-06,1715939345.0099251,2.6226043701171875e-06
780.0,1715939345.0600448,1,-1.0728836059570312e-05,1715939345.0600662,1.9073486328125e-06
783.0,1715939345.1102974,1,-1.0728836059570312e-05,1715939345.1103194,1.6689300537109375e-06
776.0,1715939345.16045,1,-1.0251998901367188e-05,1715939345.1604714,1.9073486328125e-06
774.0,1715939345.2105274,1,-1.0728836059570312e-05,1715939345.21055,1.9073486328125e-06
761.0,1715939345.2606232,1,-8.821487426757812e-06,1715939345.2606466,2.1457672119140625e-06
759.0,1715939345.3109083,1,-8.58306884765625e-06,1715939345.31093,1.430511474609375e-06
749.0,1715939345.3609934,1,-1.0013580322265625e-05,1715939345.361015,1.6689300537109375e-06
748.0,1715939345.4111664,1,-9.775161743164062e-06,1715939345.4111876,2.6226043701171875e-06
738.0,1715939345.4612515,1,-8.821487426757812e-06,1715939345.4612758,1.9073486328125e-06
737.0,1715939345.511526,1,-1.0251998901367188e-05,1715939345.5115473,2.1457672119140625e-06
723.0,1715939345.5628626,1,-1.0967254638671875e-05,1715939345.562885,1.9073486328125e-06
722.0,1715939345.6130524,1,-8.821487426757812e-06,1715939345.6130824,1.9073486328125e-06
707.0,1715939345.6631649,1,-8.58306884765625e-06,1715939345.663187,2.1457672119140625e-06
707.0,1715939345.7132838,1,-8.821487426757812e-06,1715939345.7133076,1.9073486328125e-06
693.0,1715939345.7633767,1,-1.0251998901367188e-05,1715939345.7633982,1.9073486328125e-06
693.0,1715939345.8135555,1,-1.0013580322265625e-05,1715939345.813585,2.86102294921875e-06
676.0,1715939345.863615,1,-9.298324584960938e-06,1715939345.8636386,1.6689300537109375e-06
669.0,1715939345.9137704,1,-8.106231689453125e-06,1715939345.9137912,1.9073486328125e-06
652.0,1715939345.9640305,1,-9.5367431640625e-06,1715939345.9640543,1.9073486328125e-06
647.0,1715939346.0143044,1,-1.0251998901367188e-05,1715939346.0143268,1.430511474609375e-06
636.0,1715939346.0640976,1,-5.245208740234375e-06,1715939346.0641105,9.5367431640625e-07
624.0,1715939346.1162798,1,-6.4373016357421875e-06,1715939346.1162927,9.5367431640625e-07
614.0,1715939346.1685162,1,-9.059906005859375e-06,1715939346.16854,1.6689300537109375e-06
609.0,1715939346.2160888,1,-1.1205673217773438e-05,1715939346.2161121,2.1457672119140625e-06
600.0,1715939346.2661586,1,-1.049041748046875e-05,1715939346.2661805,2.1457672119140625e-06
600.0,1715939346.3163643,1,-8.821487426757812e-06,1715939346.3163877,1.6689300537109375e-06
584.0,1715939346.366514,1,-9.298324584960938e-06,1715939346.3665378,1.6689300537109375e-06
580.0,1715939346.4167771,1,-8.58306884765625e-06,1715939346.4168003,1.430511474609375e-06
566.0,1715939346.4668827,1,-1.1205673217773438e-05,1715939346.4669056,1.9073486328125e-06
562.0,1715939346.5170302,1,-9.298324584960938e-06,1715939346.5170536,1.9073486328125e-06
544.0,1715939346.5671632,1,-8.58306884765625e-06,1715939346.5671866,1.9073486328125e-06
543.0,1715939346.6185496,1,-1.0013580322265625e-05,1715939346.618571,1.9073486328125e-06
527.0,1715939346.6686249,1,-8.58306884765625e-06,1715939346.6686459,2.6226043701171875e-06
535.0,1715939346.718924,1,-8.58306884765625e-06,1715939346.7189527,2.1457672119140625e-06
523.0,1715939346.7690363,1,-1.049041748046875e-05,1715939346.7690587,1.6689300537109375e-06
525.0,1715939346.8191903,1,-9.298324584960938e-06,1715939346.8192124,1.9073486328125e-06
514.0,1715939346.8692393,1,-8.821487426757812e-06,1715939346.869261,1.9073486328125e-06
516.0,1715939346.9194205,1,-1.0251998901367188e-05,1715939346.919443,2.6226043701171875e-06
500.0,1715939346.9695587,1,-9.5367431640625e-06,1715939346.9695835,2.1457672119140625e-06
502.0,1715939347.019771,1,-8.821487426757812e-06,1715939347.0197923,2.6226043701171875e-06
496.0,1715939347.069865,1,-1.049041748046875e-05,1715939347.0698864,1.9073486328125e-06
501.0,1715939347.1213074,1,-9.059906005859375e-06,1715939347.1213305,1.6689300537109375e-06
495.0,1715939347.170273,1,-9.059906005859375e-06,1715939347.170296,2.1457672119140625e-06
502.0,1715939347.2217512,1,-9.059906005859375e-06,1715939347.221772,1.9073486328125e-06
494.0,1715939347.2718012,1,-5.14984130859375e-05,1715939347.2718654,1.9073486328125e-06
508.0,1715939347.3220356,1,-8.821487426757812e-06,1715939347.3220563,1.6689300537109375e-06
505.0,1715939347.3721309,1,-8.58306884765625e-06,1715939347.3721514,1.6689300537109375e-06
514.0,1715939347.4222653,1,-8.58306884765625e-06,1715939347.4222856,2.1457672119140625e-06
509.0,1715939347.4724872,1,-8.821487426757812e-06,1715939347.4725077,1.6689300537109375e-06
