Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
620.0,1715940110.0066595,1,-1.1682510375976562e-05,1715940110.0066848,2.1457672119140625e-06
617.0,1715940110.0568204,1,-1.1205673217773438e-05,1715940110.0568461,1.9073486328125e-06
605.0,1715940110.1067584,1,-1.1920928955078125e-05,1715940110.1067832,2.1457672119140625e-06
596.0,1715940110.1569982,1,-1.1682510375976562e-05,1715940110.1570232,1.9073486328125e-06
591.0,1715940110.2069705,1,-1.1444091796875e-05,1715940110.2069945,1.430511474609375e-06
588.0,1715940110.2571368,1,-1.0728836059570312e-05,1715940110.25716,1.6689300537109375e-06
582.0,1715940110.3084593,1,-1.1205673217773438e-05,1715940110.3084862,1.6689300537109375e-06
576.0,1715940110.3573713,1,-1.0251998901367188e-05,1715940110.3573942,1.9073486328125e-06
572.0,1715940110.4073203,1,-5.7220458984375e-06,1715940110.4073334,9.5367431640625e-07
567.0,1715940110.4590645,1,-1.1682510375976562e-05,1715940110.4590907,1.9073486328125e-06
547.0,1715940110.5091846,1,-1.0967254638671875e-05,1715940110.5092082,2.1457672119140625e-06
541.0,1715940110.5593312,1,-1.1444091796875e-05,1715940110.559357,2.384185791015625e-06
528.0,1715940110.6094418,1,-1.0013580322265625e-05,1715940110.6094728,2.1457672119140625e-06
528.0,1715940110.65956,1,-9.775161743164062e-06,1715940110.6595857,2.1457672119140625e-06
516.0,1715940110.7125409,1,-1.1682510375976562e-05,1715940110.712566,2.1457672119140625e-06
513.0,1715940110.7598188,1,-1.1682510375976562e-05,1715940110.759844,1.9073486328125e-06
496.0,1715940110.8099391,1,-1.0967254638671875e-05,1715940110.8099701,2.1457672119140625e-06
492.0,1715940110.860163,1,-9.298324584960938e-06,1715940110.860188,1.6689300537109375e-06
489.0,1715940110.9103267,1,-1.0251998901367188e-05,1715940110.910353,1.6689300537109375e-06
484.0,1715940110.9605973,1,-1.0013580322265625e-05,1715940110.9606223,1.9073486328125e-06
478.0,1715940111.0110085,1,-1.049041748046875e-05,1715940111.0110362,1.9073486328125e-06
479.0,1715940111.061215,1,-1.0251998901367188e-05,1715940111.0612397,1.9073486328125e-06
466.0,1715940111.1113222,1,-1.7881393432617188e-05,1715940111.111355,2.1457672119140625e-06
467.0,1715940111.1628137,1,-1.0013580322265625e-05,1715940111.16284,1.9073486328125e-06
456.0,1715940111.2167344,1,-1.1682510375976562e-05,1715940111.2167594,2.1457672119140625e-06
456.0,1715940111.2632086,1,-9.5367431640625e-06,1715940111.2632394,1.9073486328125e-06
450.0,1715940111.316601,1,-1.1205673217773438e-05,1715940111.3166249,1.9073486328125e-06
459.0,1715940111.363447,1,-9.298324584960938e-06,1715940111.3634725,1.9073486328125e-06
447.0,1715940111.4135218,1,-1.1205673217773438e-05,1715940111.4135458,1.6689300537109375e-06
456.0,1715940111.4638221,1,-1.1682510375976562e-05,1715940111.4638467,1.6689300537109375e-06
454.0,1715940111.5139186,1,-1.1920928955078125e-05,1715940111.5139427,2.1457672119140625e-06
465.0,1715940111.5641918,1,-1.1205673217773438e-05,1715940111.564217,2.1457672119140625e-06
461.0,1715940111.6141615,1,-9.775161743164062e-06,1715940111.6141868,1.6689300537109375e-06
459.0,1715940111.664394,1,-9.775161743164062e-06,1715940111.6644187,2.1457672119140625e-06
461.0,1715940111.7156727,1,-1.1205673217773438e-05,1715940111.7156966,2.384185791015625e-06
469.0,1715940111.7658126,1,-1.0013580322265625e-05,1715940111.7658384,1.6689300537109375e-06
468.0,1715940111.8161292,1,-9.298324584960938e-06,1715940111.8161547,1.9073486328125e-06
478.0,1715940111.8662362,1,-1.0967254638671875e-05,1715940111.86626,1.6689300537109375e-06
483.0,1715940111.9163704,1,-1.1444091796875e-05,1715940111.9163947,1.9073486328125e-06
494.0,1715940111.9664652,1,-1.0728836059570312e-05,1715940111.9664905,1.9073486328125e-06
505.0,1715940112.0165584,1,-1.1444091796875e-05,1715940112.0165827,2.86102294921875e-06
512.0,1715940112.0666652,1,-9.775161743164062e-06,1715940112.0666904,2.1457672119140625e-06
522.0,1715940112.1167812,1,-9.298324584960938e-06,1715940112.116806,2.1457672119140625e-06
527.0,1715940112.1671326,1,-1.0967254638671875e-05,1715940112.1671586,1.9073486328125e-06
537.0,1715940112.2171755,1,-1.0967254638671875e-05,1715940112.2171988,2.1457672119140625e-06
544.0,1715940112.2686152,1,-9.775161743164062e-06,1715940112.26864,1.6689300537109375e-06
555.0,1715940112.318649,1,-1.0728836059570312e-05,1715940112.318674,2.1457672119140625e-06
567.0,1715940112.3688297,1,-1.2159347534179688e-05,1715940112.3688636,1.9073486328125e-06
576.0,1715940112.4189034,1,-1.0728836059570312e-05,1715940112.4189277,1.9073486328125e-06
589.0,1715940112.469114,1,-9.298324584960938e-06,1715940112.4691389,1.9073486328125e-06
596.0,1715940112.519181,1,-9.5367431640625e-06,1715940112.5192068,1.430511474609375e-06
613.0,1715940112.5693405,1,-1.0967254638671875e-05,1715940112.569364,1.9073486328125e-06
621.0,1715940112.6194215,1,-1.0967254638671875e-05,1715940112.6194453,1.6689300537109375e-06
630.0,1715940112.6696916,1,-1.1444091796875e-05,1715940112.6697223,1.9073486328125e-06
634.0,1715940112.7210426,1,-1.0967254638671875e-05,1715940112.7210667,2.1457672119140625e-06
649.0,1715940112.7700825,1,-1.1205673217773438e-05,1715940112.7701159,2.86102294921875e-06
658.0,1715940112.8214362,1,-1.0967254638671875e-05,1715940112.8214605,1.6689300537109375e-06
665.0,1715940112.8716166,1,-9.775161743164062e-06,1715940112.8716412,1.9073486328125e-06
672.0,1715940112.921772,1,-1.1205673217773438e-05,1715940112.9217958,1.6689300537109375e-06
685.0,1715940112.9722373,1,-1.0967254638671875e-05,1715940112.9722612,1.6689300537109375e-06
684.0,1715940113.0222971,1,-9.775161743164062e-06,1715940113.0223231,1.9073486328125e-06
696.0,1715940113.0726016,1,-9.775161743164062e-06,1715940113.0726244,1.6689300537109375e-06
698.0,1715940113.1227837,1,-9.775161743164062e-06,1715940113.122807,2.1457672119140625e-06
710.0,1715940113.1729014,1,-9.5367431640625e-06,1715940113.1729236,2.1457672119140625e-06
707.0,1715940113.223014,1,-1.0013580322265625e-05,1715940113.2230377,1.9073486328125e-06
716.0,1715940113.2732046,1,-9.775161743164062e-06,1715940113.2732272,1.9073486328125e-06
715.0,1715940113.3232968,1,-9.5367431640625e-06,1715940113.3233187,1.9073486328125e-06
716.0,1715940113.3735583,1,-9.5367431640625e-06,1715940113.3735805,1.9073486328125e-06
720.0,1715940113.423743,1,-9.775161743164062e-06,1715940113.4237654,1.9073486328125e-06
733.0,1715940113.473914,1,-9.5367431640625e-06,1715940113.473936,2.1457672119140625e-06
728.0,1715940113.525333,1,-9.775161743164062e-06,1715940113.5253587,1.9073486328125e-06
738.0,1715940113.575595,1,-9.5367431640625e-06,1715940113.5756192,1.9073486328125e-06
735.0,1715940113.6256547,1,-1.1444091796875e-05,1715940113.6256788,1.9073486328125e-06
742.0,1715940113.6758232,1,-1.1205673217773438e-05,1715940113.675847,1.9073486328125e-06
741.0,1715940113.7255974,1,-7.867813110351562e-06,1715940113.725612,1.1920928955078125e-06
739.0,1715940113.7757423,1,-5.4836273193359375e-06,1715940113.775756,9.5367431640625e-07
733.0,1715940113.826175,1,-1.1205673217773438e-05,1715940113.8261988,1.6689300537109375e-06
741.0,1715940113.8766215,1,-1.239776611328125e-05,1715940113.8766472,1.9073486328125e-06
729.0,1715940113.9265172,1,-9.775161743164062e-06,1715940113.926543,1.6689300537109375e-06
